epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/pcc_epoch,val/loss_epoch,val/pcc_epoch
,2.4500000000000004e-07,2.4500000000000004e-07,49,,,,,
,2.4500000000000004e-07,2.4500000000000004e-07,49,,,,,
,2.4500000000000004e-07,2.4500000000000004e-07,49,,,,,
0,,,49,,58.51393508911133,,,
,4.95e-07,4.95e-07,99,,,,,
,4.95e-07,4.95e-07,99,,,,,
,4.95e-07,4.95e-07,99,,,,,
0,,,99,,39.599430084228516,,,
,7.450000000000001e-07,7.450000000000001e-07,149,,,,,
,7.450000000000001e-07,7.450000000000001e-07,149,,,,,
,7.450000000000001e-07,7.450000000000001e-07,149,,,,,
0,,,149,,60.86513137817383,,,
,9.950000000000002e-07,9.950000000000002e-07,199,,,,,
,9.950000000000002e-07,9.950000000000002e-07,199,,,,,
,9.950000000000002e-07,9.950000000000002e-07,199,,,,,
0,,,199,,59.42372131347656,,,
,1.2450000000000002e-06,1.2450000000000002e-06,249,,,,,
,1.2450000000000002e-06,1.2450000000000002e-06,249,,,,,
,1.2450000000000002e-06,1.2450000000000002e-06,249,,,,,
0,,,249,,59.05649185180664,,,
,1.495e-06,1.495e-06,299,,,,,
,1.495e-06,1.495e-06,299,,,,,
,1.495e-06,1.495e-06,299,,,,,
0,,,299,,44.596473693847656,,,
,1.745e-06,1.745e-06,349,,,,,
,1.745e-06,1.745e-06,349,,,,,
,1.745e-06,1.745e-06,349,,,,,
0,,,349,,34.22077941894531,,,
,1.9950000000000004e-06,1.9950000000000004e-06,399,,,,,
,1.9950000000000004e-06,1.9950000000000004e-06,399,,,,,
,1.9950000000000004e-06,1.9950000000000004e-06,399,,,,,
0,,,399,,22.528732299804688,,,
,2.245e-06,2.245e-06,449,,,,,
,2.245e-06,2.245e-06,449,,,,,
,2.245e-06,2.245e-06,449,,,,,
0,,,449,,24.713775634765625,,,
,2.4950000000000003e-06,2.4950000000000003e-06,499,,,,,
,2.4950000000000003e-06,2.4950000000000003e-06,499,,,,,
